rssi,anchor
-59,1007120021
-59,1007110084
-71,1007110083
-50,1007110070
-67,1007110076
-60,1007110082
-64,1007120021
-56,1007110069
-62,1007110064
-75,1007110087
-49,1007110070
-67,1007110073
-62,1007110078
-80,1007110069
-62,1007110084
-71,1007110087
-66,1007120010
-67,1007110085
-50,1007110070
-65,1007120006
-63,1007110082
-68,1007110066
-70,1007110080
-63,1007110067
-53,1007110068
-65,1007110079
-72,1007110090
-75,1007110076
-73,1007110072
-76,1007110073
-72,1007120007
-69,1007110066
-60,1007110084
-71,1007110068
-74,1007110075
-72,1007110085
-67,1007110079
-67,1007120006
-61,1007110072
-72,1007110078
-72,1007110065
-60,1007110082
-77,1007110040
-57,1007110069
-62,1007110064
-72,1007110087
-56,1007110067
-61,1007110079
-71,1007110076
-61,1007110082
-69,1007110069
-70,1007110087
-72,1007110081
-63,1007110068
-60,1007110086
-63,1007110064
-63,1007110081
-63,1007110079
-75,1007110073
-61,1007110084
-74,1007110080
-74,1007120005
-77,1007110078
-63,1007110080
-74,1007110090
-68,1007110078
-64,1007110069
-61,1007110084
-81,1007110035
-57,1007110068
-51,1007110070
-65,1007110076
-75,1007110065
-66,1007110066
-53,1007110070
-63,1007110072
-69,1007110078
-74,1007110077
-80,1007120009
-66,1007110084
-70,1007110085
-52,1007110070
-61,1007110086
-64,1007110089
-76,1007110074
-78,1007110065
-77,1007110040
-71,1007110080
-64,1007110081
-76,1007110067
-68,1007110073
-68,1007110065
-63,1007110066
-58,1007110069
-56,1007120021
-63,1007110064
-61,1007110084
-73,1007110083
-77,1007110067
-61,1007110068
-67,1007120010
-60,1007110079
-51,1007110070
-61,1007110086
-68,1007110082
-66,1007110066
-80,1007110081
-58,1007110068
-70,1007110073
-77,1007120008
-72,1007120009
-72,1007120007
-58,1007120021
-66,1007110064
-76,1007110087
-59,1007110067
-68,1007120010
-68,1007110085
-80,1007110079
-49,1007110070
-60,1007110086
-73,1007110065
-58,1007110082
-68,1007110069
-74,1007110087
-72,1007110083
-72,1007110079
-74,1007110090
-64,1007110072
-71,1007110078
-74,1007120008
-70,1007110065
-51,1007120021
-58,1007110084
-68,1007110081
-72,1007110075
-73,1007120010
-47,1007110070
-61,1007110086
-63,1007120006
-71,1007110077
-75,1007110074
-71,1007110069
-61,1007110080
-60,1007110068
-65,1007110079
-73,1007110089
-73,1007110065
-53,1007120021
-67,1007110067
-69,1007120006
-76,1007110073
-61,1007110084
-74,1007110083
-73,1007110075
-74,1007110078
-67,1007110081
-60,1007110067
-48,1007110070
-76,1007110086
-67,1007110076
-74,1007110073
-66,1007110066
-74,1007110087
-59,1007110068
-69,1007110089
-71,1007110077
-74,1007120009
-70,1007110081
-69,1007110068
-68,1007110086
-72,1007110076
-73,1007110072
-62,1007110084
-70,1007110080
-68,1007110064
-69,1007110085
